Biomarker,difference,lo,hi
Haemoglobin (g/dL),0.19793562047590996,0.09361012191682813,0.30226111903499175
Ferritin (ng/mL),3.9617259391761728,1.6264123627019895,6.297039515650356
Haematocrit (%),0.45373005954338197,0.15328540091458065,0.7541747181721833
MCV (fL),1.0230072385462847,0.48889096702330437,1.557123510069265
MCH (pg),0.2211674387573872,-0.057913209475841,0.5002480869906154
MCHC (g/dL),0.1051965934041803,-0.0194411373206079,0.2298343241289685
RDW (%),-0.2372525205052174,-0.408223304103229,-0.06628173690720579
C-reactive protein (mg/L),-0.08686450040116034,-0.9341915578465022,0.7604625570441815
