Biomarker,n_unexposed,n_exposed,events_unexposed,events_exposed,prev_unexposed,prev_unexposed_lo,prev_unexposed_hi,prev_exposed,prev_exposed_lo,prev_exposed_hi,risk_difference_pp,risk_difference_pp_lo,risk_difference_pp_hi,method,p_value
Anaemia (Hb < 10.5 g/dL),1983,805,274,72,0.13817448310640443,0.12368428577304616,0.15406382362669116,0.08944099378881988,0.07162742354208972,0.11115432837969565,-4.873348931758454,-7.260385645143516,-2.262918473357034,Chi-square,0.00040485879509832395
Iron deficiency (ferritin < 12 ng/mL),1929,799,528,177,0.2737169517884914,0.25428446023806084,0.294048903583056,0.22152690863579474,0.19410292539388815,0.25161578397610795,-5.219004315269668,-8.63289230498004,-1.6371582170928294,Chi-square,0.0046009713185634505
Elevated CRP (> 5 mg/L),1964,792,304,89,0.15478615071283094,0.1394649037796992,0.1714551940360687,0.11237373737373738,0.09222284066344058,0.1362667119377875,-4.241241333909357,-6.856419422569912,-1.4029058338242362,Chi-square,0.0039562756633485865
