Biomarker,n_unexposed,n_exposed,mean_unexposed,mean_unexposed_lo,mean_unexposed_hi,sd_unexposed,mean_exposed,mean_exposed_lo,mean_exposed_hi,sd_exposed,median_unexposed,iqr_low_unexposed,iqr_high_unexposed,median_exposed,iqr_low_exposed,iqr_high_exposed,mean_difference,mean_difference_lo,mean_difference_hi,p_welch,p_mannwhitney
Haemoglobin (g/dL),1983,805,11.722188603126575,11.666747875530387,11.777629330722764,1.25962764616936,11.920124223602485,11.831749253315609,12.008499193889362,1.2793198147958948,11.8,11.0,12.5,11.9,11.2,12.6,0.19793562047590996,0.09361012191682813,0.30226111903499175,0.0002078487400597279,0.00026698548088352855
Ferritin (ng/mL),1929,799,23.784707102125452,22.758767936458977,24.810646267791927,22.990034811919582,27.746433041301625,25.64854402402349,29.84432205857976,30.25574175160906,18.2,11.2,28.9,21.1,13.149999999999999,32.25,3.9617259391761728,1.6264123627019895,6.297039515650356,0.0009110840910710677,9.455537411276987e-06
Haematocrit (%),1983,805,35.28875441250631,35.13254727836564,35.44496154664697,3.549066421451466,35.74248447204969,35.48584011863014,35.999128825469235,3.715194535503719,35.3,33.2,37.3,35.6,33.6,37.5,0.45373005954338197,0.15328540091458065,0.7541747181721833,0.0031277602149474477,0.009678615850191342
MCV (fL),1983,805,74.69823499747856,74.38132148611562,75.0151485088415,7.200356807453177,75.72124223602485,75.29130501058232,76.15117946146738,6.223789494259962,75.5,71.2,78.8,76.2,72.5,79.6,1.0230072385462847,0.48889096702330437,1.557123510069265,0.00017987309187329577,9.960545640643632e-05
MCH (pg),1983,805,25.140695915279878,24.96105050763134,25.320341322928414,4.081590047476522,25.361863354037265,25.14829009791874,25.57543661015579,3.091695505820009,25.2,23.5,26.7,25.6,24.1,26.8,0.2211674387573872,-0.057913209475841,0.5002480869906154,0.12052735823698776,0.0003195287235731389
MCHC (g/dL),1983,805,33.24548663640948,33.169607833593936,33.321365439225026,1.7239859924071532,33.35068322981366,33.25180466184514,33.44956179778218,1.4313703399293127,33.3,32.5,34.1,33.4,32.6,34.2,0.1051965934041803,-0.0194411373206079,0.2298343241289685,0.09825379449578013,0.05042048164633775
RDW (%),1982,803,15.083703329969726,14.989340788446661,15.178065871492791,2.143400660044468,14.846450809464509,14.703879004392729,14.989022614536289,2.0613100768507393,14.8,13.8,16.1,14.5,13.6,15.850000000000001,-0.2372525205052174,-0.408223304103229,-0.06628173690720579,0.00660560609986433,0.0025918050224091904
C-reactive protein (mg/L),1964,792,3.444106924643585,3.020792173599866,3.8674216756873037,9.57163324963323,3.3572424242424246,2.6232344107795087,4.091250437705341,10.539385685195693,0.64,0.24,2.37,0.475,0.2,1.83,-0.08686450040116034,-0.9341915578465022,0.7604625570441815,0.8407856621457024,0.00025352408783959344
