Biomarker,difference,lo,hi
Anaemia (Hb < 10.5 g/dL),-4.873348931758454,-7.260385645143516,-2.262918473357034
Iron deficiency (ferritin < 12 ng/mL),-5.219004315269668,-8.63289230498004,-1.6371582170928294
Elevated CRP (> 5 mg/L),-4.241241333909357,-6.856419422569912,-1.4029058338242362
